sim_time_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6
1.48000007,0.36033383,-1.016559958,0.042443532,-1.346081138,0.049011596,-0.289533317,0.390525469,0.682141645,-0.056827162,0.26648185,0.030039049,-0.764538387,-0.070849724,-0.147544741,-0.59452966,-0.136409796,0.047630988,-0.622665066,7.137304783,-86.32576752,-39.11109543,-5.16119957,5.166334152,-0.366390049
1.500000071,0.368151098,-1.002815604,0.040846605,-1.340675712,0.049631603,-0.304981887,0.389215555,0.678666904,-0.069220446,0.263465673,0.031221367,-0.776050973,-0.060904566,-0.197739548,-0.640488731,-0.162831625,0.067722698,-0.534056464,7.320944309,-89.43486786,-40.3658905,-5.331830025,5.314500809,-0.350804269
1.520000072,0.375944525,-0.989143729,0.038986344,-1.335335135,0.050279386,-0.320639312,0.388086885,0.674233345,-0.082455855,0.259942791,0.032757366,-0.785896219,-0.053141615,-0.243036012,-0.678351553,-0.186849203,0.082742076,-0.456805674,7.450857162,-92.38240051,-41.52010727,-5.492406845,5.449699879,-0.337581456
1.540000073,0.383716017,-0.975576758,0.036852021,-1.330070853,0.050960667,-0.336475074,0.387087524,0.66894599,-0.096360816,0.255967825,0.034538656,-0.794318647,-0.048345727,-0.282836346,-0.707326665,-0.208085018,0.092219525,-0.392372468,7.520250797,-95.09770203,-42.57204437,-5.637379646,5.570837021,-0.32695812
1.560000074,0.391468436,-0.962124228,0.034431595,-1.324894309,0.051679023,-0.352462471,0.386151119,0.662919288,-0.110751791,0.251600859,0.036450723,-0.801586959,-0.047154163,-0.31681943,-0.727065785,-0.226301027,0.095977376,-0.341710511,7.522338867,-97.58978271,-43.50894928,-5.766688347,5.677246094,-0.319143504
1.580000075,0.399201781,-0.948795676,0.031718154,-1.319805503,0.052435406,-0.368583381,0.385200058,0.65627152,-0.125443151,0.246904409,0.03837887,-0.807983678,-0.050039938,-0.344940959,-0.737656921,-0.241415103,0.094123973,-0.305255405,7.454479218,-99.8706131,-44.3344574,-5.884003162,5.76896143,-0.314183742
1.600000076,0.406913191,-0.935610175,0.028709399,-1.314823508,0.053228267,-0.384824455,0.384148913,0.649119278,-0.140255564,0.241940285,0.040213762,-0.813794764,-0.057301127,-0.367420976,-0.739596296,-0.253505589,0.087033242,-0.282931666,7.315924644,-101.9108429,-45.05189896,-5.982636452,5.846734524,-0.312052786
1.620000077,0.414599806,-0.922567725,0.025403963,-1.309936881,0.054054029,-0.401178062,0.38290804,0.64157226,-0.155023556,0.236766581,0.041856318,-0.819299569,-0.069056136,-0.384719872,-0.733741831,-0.262803694,0.075311732,-0.274177823,7.109138012,-103.7682953,-45.66671753,-6.069660187,5.911611557,-0.312638372
1.640000078,0.422255903,-0.909689307,0.02180581,-1.305153251,0.054907687,-0.417639434,0.381387216,0.633728652,-0.169601985,0.231435018,0.043221763,-0.824761476,-0.085244867,-0.397504381,-0.721251736,-0.269674921,0.059755754,-0.277988039,6.834973812,-105.40728,-46.19145203,-6.147957325,5.965085983,-0.315759391
1.660000079,0.429877669,-0.896967292,0.017916547,-1.300480247,0.055782683,-0.434214294,0.379499179,0.625671301,-0.18387125,0.225988754,0.044242739,-0.83041953,-0.105635629,-0.406605527,-0.703512232,-0.274591797,0.041301599,-0.292967975,6.49707365,-106.9015656,-46.62997437,-6.214382172,6.008862972,-0.321129203
