time,q1,q2,q3,q4,q5,q6,q1d,q2d,q3d,q4d,q5d,q6d,q1d2,q2d2,q3d2,q4d2,q5d2,q6d2
0.62,0.0493105013414379,-1.50542076531552,0.0124652546052264,-1.54555538273517,0.01151512223705,-0.00700880185384278,0.208428634284888,0.28156416730063,0.0451485479667504,0.111519133807672,0.0457194424400358,-0.0622094125910593,0.48171714452578,0.687392236434221,0.0511697118865105,0.286863348223658,0.0882605683489066,-0.356461485364075
0.63,0.0514188557443163,-1.50257074241163,0.0129192410658749,-1.54442583538165,0.0119767128657742,-0.00764890418431463,0.213240365954274,0.288441450919997,0.0456429475556916,0.114391564922396,0.0465969810533444,-0.065829578226726,0.480588986811735,0.688014740984191,0.0476917742561063,0.287600163034181,0.087239242893427,-0.367576203647106
0.64,0.0535752670478473,-1.49965192051123,0.0133779957891189,-1.54326752914766,0.01244702702936,-0.00832576433541732,0.218039614782524,0.295323471089119,0.0461020175224363,0.117270682735128,0.0474640715348222,-0.069561016756758,0.479221059186851,0.688339937555122,0.0441040584839697,0.288200679138096,0.0861711883793643,-0.378714950840945
0.65,0.0557795984834684,-1.49666426707491,0.0138411600170301,-1.54208040398188,0.0129259579346979,-0.00904049612631752,0.222823997640278,0.302207266531955,0.0465246682510667,0.120155124061352,0.048320253978857,-0.0734039351234372,0.477616283888484,0.68837019374684,0.0404082010999098,0.288664863364137,0.0850578810936171,-0.389871063136973
0.66,0.0580316895985362,-1.49360777905699,0.0143083641776673,-1.54086441346584,0.0134133942632957,-0.00979421511294021,0.227591160867963,0.309089899853408,0.0469098265932928,0.123043525574566,0.0491650832207338,-0.0773584738001603,0.475777632511377,0.688107918092333,0.0366058590474466,0.288992720505011,0.0839007928549753,-0.401037910824257
0.67,0.0603313565530073,-1.49048248266469,0.0147792280508074,-1.53961952481346,0.0139092203185811,-0.0105880379251388,0.232338780765604,0.31596845794666,0.0472564360711019,0.125934524186462,0.0499981287897198,-0.081424707140421,0.473708125258923,0.687555559630782,0.0326987093854889,0.289184293422748,0.0827013905663092,-0.412208899899889
0.68,0.0626783924218017,-1.48728843311302,0.0152533609356142,-1.53834571886679,0.0144133161724582,-0.0114230816072336,0.237064564075149,0.322840052395957,0.0475634570763717,0.128826757428119,0.0508189748576759,-0.0856026437428099,0.471410830178637,0.686715607470912,0.0286884489834728,0.289239663142036,0.0814611357702977,-0.423377473668818
0.69,0.0650725675012467,-1.48402571437619,0.0157303618203644,-1.53704299008785,0.0149255578116438,-0.0123004629622017,0.241766248454986,0.329701819875162,0.0478298670674135,0.131718863831949,0.0516272201832653,-0.0898922268322622,0.468888862381969,0.68559059034481,0.0245767942100183,0.289158948931519,0.0801814842088366,-0.434537114332698
0.7,0.0675136296210468,-1.48069443893443,0.0162098195540397,-1.53571134654675,0.015445817283009,-0.0132212979001523,0.246441602946614,0.336550922541669,0.0480546607623999,0.134609483314652,0.0524224780517262,-0.0942933346566974,0.466145383248736,0.684183076152264,0.0203654806151998,0.288942308373015,0.0788638853862502,-0.44568134456736
0.71,0.0700013044599501,-1.47729474751753,0.0166913130199022,-1.53435080990591,0.0159739628387072,-0.0141867007905034,0.251088428433336,0.343384548425746,0.0482368503296051,0.13749725756049,0.0532043762103562,-0.0988057808997169,0.463183599616339,0.682495671495794,0.0160562626064936,0.288589937418624,0.0775097821364632,-0.456803729088435
0.72,0.0725352958666434,-1.47382680884387,0.0171744113109114,-1.53296141540049,0.0165098590803936,-0.0151977838184436,0.255704558090646,0.35019991181527,0.0483754655742494,0.140380830405324,0.0539725567996499,-0.103429315108762,0.460006762954081,0.680531021206398,0.0116509131184979,0.288102070435704,0.0761206101942351,-0.467897876204755
0.73,0.0751152861849818,-1.47029081935612,0.0176586739070581,-1.5315432118149,0.0170533671027542,-0.0162556563457912,0.260287857828416,0.356994253635548,0.0484695541221463,0.143258848220896,0.0547266762801852,-0.108163623138765,0.45661816852277,0.678291807860212,0.00715122327649803,0.287478980239696,0.0746977977706322,-0.478957439359065
0.74,0.077740936583325,-1.46668700295294,0.0181436508544355,-1.53009626145557,0.0176043446364034,-0.0173614242763165,0.26483622672452,0.363764841824317,0.0485181815999027,0.146129960299408,0.0554664053552774,-0.113008327611084,0.453021154519853,0.67578075128614,0.00255900205396803,0.286720978114764,0.073242765132818,-0.489976118655669
0.75,0.0804118873884363,-1.46301561071709,0.0186288829461292,-1.52862064011979,0.018162646189829,-0.018516189425938,0.26934759744988,0.37050897170176,0.0485204318116423,0.148992819238345,0.0561914288894592,-0.11796298838776,0.449219101210354,0.673000608064592,-0.002123924075908,0.285828413822257,0.0717569241883367,-0.50094766237456
0.76,0.0831277584235579,-1.45927692063952,0.0191139019049045,-1.52711643706076,0.0187281231906411,-0.0197210488972814,0.273819936684728,0.377223966335539,0.0484754069122175,0.151846081325139,0.056901445822831,-0.123027103060807,0.445215430043866,0.669954171017416,-0.00689571149460122,0.28480167559696,0.0702416780739785,-0.511865868471672
0.77,0.0858881493502821,-1.45547123734044,0.0195982305675129,-1.52558375494874,0.019300624125826,-0.0209770944596954,0.278251245525985,0.383907176900586,0.0483822275769654,0.154688406921888,0.0575961690813047,-0.128200107456344,0.441013602757812,0.666644268689251,-0.0117544997984015,0.283641190131139,0.0686984207493855,-0.522724586064792
0.78,0.0886926400151964,-1.45159889178616,0.0200813830707682,-1.52402270982842,0.0198799946812187,-0.0222854119341562,0.282639559885597,0.390555983033668,0.0482400331676054,0.157518460849769,0.0582753254828301,-0.133481376153604,0.436617120467319,0.663073764820232,-0.0166984121642876,0.282347422546374,0.0671285365954977,-0.533517716904785
0.79,0.0915407907995132,-1.44766024100296,0.0205628650392109,-1.52243343107235,0.0204660778798029,-0.0236470805833378,0.286982950879709,0.397167793182732,0.0480479818946336,0.16033491277318,0.0589386556396194,-0.13887022301855,0.432029522741885,0.659245557810391,-0.0217255557214047,0.280920876353178,0.0655334000179693,-0.544239216831699
0.8,0.0944321429732469,-1.44365566778708,0.0210421737743838,-1.52081606133062,0.0210587142193646,-0.0250631725073873,0.291279525208543,0.403740044950737,0.0478052509759657,0.163136437583372,0.0595859138564343,-0.144365901752082,0.427254386669177,0.655162580175698,-0.0268340219280565,0.279362093398406,0.0639143750556816,-0.554883097215372
0.81,0.0973662190529581,-1.43958558041155,0.0215187984456957,-1.51917075647672,0.0216577418086104,-0.0265347520448245,0.295527425526835,0.410270205434099,0.0475110367916862,0.165921715781433,0.0602168680249759,-0.149967606452314,0.422295325906188,0.650827797995987,-0.0320218869541121,0.277671653800456,0.0622728149944596,-0.565443426380164
0.82,0.100342523162936,-1.4354504123296,0.0219922202828098,-1.51749768554943,0.0222629965027608,-0.0280628751797067,0.299724830804738,0.416755771555515,0.0471645550349891,0.16868943386071,0.0608312995144455,-0.155674472191265,0.41715598971807,0.646244210354865,-0.0372872120687264,0.275850175872286,0.060610061986111,-0.575914331013406
